name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,
F. Medina CB,24,80,84,"Lens
2020 ~ 2028",236804,"184cm / 6'0""",77kg / 170lbs,Left,82,CB,4,€27M,€34K,€53.3M,283,62,39,74,79,29,306,70,52,32,76,76,356,69,77+3,62,81,67,292,27,83,69,81,32,339,84,80,63,68,44,79,242,79,82,81,56,13,5,12,13,13,1874,409,2,73,36,69,72,80,
J. Foyth RB,25,80,83,"Villarreal
2021 ~ 2026",237221,"187cm / 6'2""",83kg / 183lbs,Right,82,CB,3,€25.5M,€34K,€55.5M,316,73,43,78,79,43,324,69,61,47,69,78,359,70,72,68,78,71,331,56,84,72,77,42,324,79,80,53,65,47,67,243,81,82,80,53,8,15,7,14,9,1950,418,1,71,46,71,72,81,
K. Diatta RM,24,75,78,"Monaco
2021 ~ 2025",238227,"175cm / 5'9""",69kg / 152lbs,Right,76,RM,3,€7.5M,€36K,€14.8M,332,66,68,62,68,68,338,79,62,58,64,75,416,90,91,89,70,76,368,73,78,84,61,72,302,57,48,69,69,59,70,147,55,42,50,52,10,8,11,11,12,1955,421,1,91,69,66,78,50,
J. Beste LM,24,77,80,"Heidenheim
2022 ~ 2025",240451,"175cm / 5'9""",66kg / 146lbs,Left,78,LM,3,€14.5M,€27K,€27.2M,315,83,74,41,75,42,395,77,85,83,75,75,396,80,86,82,67,81,352,77,60,86,55,74,320,62,62,70,68,58,70,184,62,61,61,50,13,8,7,14,8,2012,431,1,83,72,76,76,60,
R. Baku RB RM,25,77,80,"VfL Wolfsburg
2020 ~ 2025",240709,"176cm / 5'9""",72kg / 159lbs,Right,80,RM,3,€13M,€37K,€23.1M,333,75,71,49,75,63,357,82,79,48,70,78,413,84,79,85,75,90,385,77,74,88,73,73,360,74,75,76,75,60,76,220,72,74,74,46,12,8,7,10,9,2114,455,2,81,72,73,81,71,
O. Solbakken RM RW LW,24,73,76,"Norway
Free",242090,"189cm / 6'2""",82kg / 181lbs,Left,74,LM,3,€0,€0,€0,301,67,73,40,70,51,322,72,66,50,60,74,380,80,82,82,65,71,346,68,64,83,66,65,303,58,44,74,66,61,66,99,39,32,28,52,9,12,13,7,11,1803,395,1,81,69,66,73,37,
Hugo Duro ST LM,23,77,81,"Valencia
2022 ~ 2026",243032,"177cm / 5'10""",70kg / 154lbs,Left,79,ST,4,€15.5M,€32K,€33.7M,372,66,81,80,71,74,318,74,52,51,66,75,357,72,74,69,73,69,381,76,85,75,73,72,327,60,50,80,68,69,74,124,44,40,40,57,8,14,6,14,15,1936,410,1,73,77,67,74,47,
N. Williams RB RWB,22,74,80,"Nottingham Forest
2022 ~ 2026",243057,"183cm / 6'0""",72kg / 159lbs,Right,74,RB,6,€6.5M,€39K,€13.7M,280,74,43,54,73,36,327,73,58,55,68,73,366,74,75,73,71,73,294,55,65,74,57,43,293,66,72,52,58,45,67,212,69,74,69,57,10,11,7,14,15,1829,395,1,75,46,68,73,70,
B. Mumba LWB LW RWB,21,71,79,"Plymouth Argyle
2023 ~ 2027",243353,"163cm / 5'4""",61kg / 134lbs,Right,72,RM,8,€4M,€8K,€8.2M,282,67,66,49,68,32,318,71,65,46,66,70,421,87,82,90,69,93,306,60,62,73,49,62,302,61,63,65,65,48,68,197,66,67,64,56,14,9,8,11,14,1882,406,1,84,61,66,73,64,
D. Spence RWB RB,22,74,80,"Genoa
Jun 30, 2024 On loan",243702,"185cm / 6'1""",71kg / 157lbs,Right,74,RWB,6,€6.5M,€46K,€0,256,72,38,51,68,27,287,77,57,28,53,72,394,87,88,79,73,67,307,54,72,73,63,45,263,46,72,56,52,37,65,204,67,73,64,45,13,8,7,11,6,1756,397,1,88,43,61,74,68,
Trincão RW RM LW,23,78+1,84+1,"Sporting CP
2023 ~ 2026",244778,"184cm / 6'0""",76kg / 168lbs,Left,80,CAM,6,€22M,€15K,€48.4M,353,69,79+2,66,71,68,372,84+2,82,56,66,84+2,379,77,77,84+3,76,65,349,75,72,69,56,77+3,310,50,35,79+6,79+3,67,81-2,107,37,36,34,42,5,9,6,15,7,1912,406,1,77,77,71,83,39,
J. Gelhardt CAM ST CF,21,70,79,"Leeds United
2020 ~ 2027",246053,"175cm / 5'9""",76kg / 168lbs,Left,72,CAM,9,€3.6M,€17K,€7.6M,309,48,68,61,67,65,311,76,57,45,58,75,378,75,74,82,68,79,356,76,74,71,68,67,287,63,23,71,65,65,69,73,32,23,18,47,6,13,6,10,12,1761,376,1,74,69,60,76,29,
Iván Jaime LM CAM ST,22,75,83,"Porto
2023 ~ 2028",246070,"180cm / 5'11""",75kg / 165lbs,Right,77,CAM,8,€12.5M,€11K,€27.5M,342,68,73,60,73,68,362,78,70,65,70,79,362,76,73,74,73,66,362,73,75,68,69,77,309,44,53,73,72,67,73,147,47,52,48,50,9,14,10,11,6,1934,410,1,74,73,71,77,51,
Bryan Gil LW LM,22,77,83,"Tottenham Hotspur
2021 ~ 2026",246785,"175cm / 5'9""",65kg / 143lbs,Left,78,CAM,6,€17M,€68K,€35.7M,325,79,73,34,75,64,372,82,68,72,72,78,395,77,74,89,76,79,250,64,47,45,34,60,283,52,30,78,71,52,81,93,31,32,30,49,13,10,14,6,6,1767,369,1,75,67,74,81,31,
Iván Martín CM CAM RM,24,80,83,"Girona
2023 ~ 2026",246928,"178cm / 5'10""",70kg / 154lbs,Left,82,CAM,3,€28.5M,€29K,€62M,350,80,77,47,83,63,391,83,80,65,80,83,378,76,74,78,78,72,332,73,61,71,53,74,362,55,76,81,80,70,77,205,66,74,65,42,13,6,11,6,6,2060,437,1,75,75,80,81,68,
André Almeida CM CAM,23,75,81,"Valencia
2022 ~ 2028",247729,"176cm / 5'9""",62kg / 137lbs,Right,77,CM,6,€9M,€26K,€20.7M,313,69,57,46,78,63,385,76,75,80,79,75,373,75,69,75,75,79,342,75,62,69,59,77,348,67,76,69,78,58,82,200,66,69,65,40,6,9,12,8,5,2001,420,1,72,66,76,76,67,
T. Krauß CDM CM,22,75,82,"FSV Mainz 05
2023 ~ 2027",251392,"182cm / 6'0""",75kg / 165lbs,Right,76,CDM,7,€10.5M,€20K,€21M,313,51,61,64,75,62,315,73,50,47,70,75,363,74,78,70,73,68,370,73,74,84,68,71,369,86,72+1,72,70,69+3,65,219,71+2,76,72,43,7,11,5,12,8,1992,429,1,76,66,66,73,72,
R. Yılmaz LB,22,74,81,"Rangers
2022 ~ 2027",252208,"174cm / 5'9""",60kg / 132lbs,Left,76,LWB,7,€8M,€34K,€16M,297,73,51,51,71,51,333,77,75,41,66,74,424,88,84,90,78,84,315,68,65,75,49,58,305,62,71,70,60,42,70,207,70,70,67,58,11,12,9,13,13,1939,413,1,86,56,67,77,68,
Adrián Bernabé CAM CDM CM,22,74,83,"Parma
2021 ~ 2026",252794,"175cm / 5'9""",68kg / 150lbs,Left,76,CAM,9,€9.5M,€5K,€17.1M,311,65,69,46,75,56,380,77,75,74,75,79,381,80,73,82,65,81,336,72,63,76,55,70,342,70,68,67,73,64,76,204,67,72,65,48,8,12,9,10,9,2002,426,1,76,69,73,78,66,
W. Singo CB RB,22,78,84,"Monaco
2023 ~ 2028",252802,"190cm / 6'3""",79kg / 174lbs,Right,80,CB,6,€20.5M,€39K,€43.1M,329,73,55,76,75,50,324,74,67,40,70,73,357,71,83,67,76,60,374,72,88,78,85,51,334,83,75,66,64,46,75,228,73,78,77,44,11,6,7,13,7,1990,436,1,78,57,70,72,76,
Z. Debast CB,19,73,84,"Anderlecht
2019 ~ 2025",254262,"188cm / 6'2""",73kg / 161lbs,Right,75,CDM,11,€6M,€10K,€10.2M,297,64,51,71,74,37,339,69,60,61,76,73,318,58,73,60,74,53,337,61,75,74,71,56,308,75,71,53,67,42,71,222,72,77,73,38,6,6,15,6,5,1859,404,1,66,53,70,69,73,
Y. Keitel CDM CM CB,23,71,76,"SC Freiburg
2020 ~ 2024",256118,"186cm / 6'1""",86kg / 190lbs,Right,73,CB,5,€2.6M,€13K,€4.6M,281,49,44,75,72,41,294,62,42,49,70,71,330,63,67,66,70,64,324,58,79,65,73,49,309,79,68,49,65,48,64,205,64,74,67,49,13,8,11,10,7,1792,384,1,65,48,63,66,69,
M. Dárdai CDM CB,21,72,78,"Hertha BSC
2020 ~ 2025",256780,"188cm / 6'2""",77kg / 170lbs,Left,74,CB,6,€3.5M,€7K,€6.3M,260,63,25,69,68,35,280,60,44,38,76,62,326,66,61,65,69,65,309,58,75,68,74,34,279,68,75,31,69,36,69,219,72,74,73,59,15,11,11,8,14,1732,370,1,63,35,66,62,73,
Tiago Tomás ST RM CF,21,74,82,"VfL Wolfsburg
2023 ~ 2027",257073,"180cm / 5'11""",78kg / 172lbs,Right,76,ST,8,€9.5M,€29K,€18.1M,316,42,71,67,68,68,330,78,65,51,59,77,403,84,91,77,72,79,360,76,79,76,67,62,303,61,40,74,58,70,66,101,35,37,29,51,8,14,9,13,7,1864,401,1,88,70,58,77,39,
H. Ekitike ST,21,75,81,"Eintracht Frankfurt
Jun 30, 2024 On loan",257289,"189cm / 6'2""",70kg / 154lbs,Right,77,ST,6,€9M,€49K,€0,332,51,79,73,68,61,312,77,58,48,53,76,352,72,72,68,72,68,360,76,81,62,72,69,283,61,18,78,63,63,70,57,24,17,16,45,8,8,7,10,12,1741,375,1,72,75,60,75,25,
V. Kristiansen LB,20,74,80,"Bologna
Jun 30, 2024 On loan",259762,"181cm / 5'11""",77kg / 170lbs,Left,75,LWB,6,€6M,€24K,€0,299,71,52,55,67,54,326,72,63,55,64,72,365,75,74,71,72,73,343,66,73,83,71,50,314,74,71,61,56,52,66,219,71,75,73,46,10,10,8,12,6,1912,411,1,74,55,64,72,71,
C. Patino CM CDM,19,68,85,"Swansea City
Jun 30, 2024 On loan",260144,"182cm / 6'0""",75kg / 165lbs,Left,71,CDM,17,€3.1M,€18K,€0,286,64,46,59,74,43,337,67,64,62,74,70,323,68,58,72,61,64,287,56,61,76,53,41,322,68,71,59,72,52,64,193,62,65,66,52,14,9,12,6,11,1800,377,1,63,48,71,68,65,
E. Baggott CB,20,61,69,"Bristol Rovers
Jun 30, 2024 On loan",260798,"194cm / 6'4""",86kg / 190lbs,Left,63,CB,8,€675K,€2K,€0,175,26,22,63,44,20,175,35,28,29,33,50,249,57,56,43,57,36,271,30,76,66,81,18,206,57,58,25,28,38,54,180,61,61,58,39,8,8,5,11,7,1295,288,1,56,24,34,42,60,
A. Zaroury LM ST,22,74,83,"Hull City
Jun 30, 2024 On loan",260843,"178cm / 5'10""",68kg / 150lbs,Right,75,RM,9,€9.5M,€34K,€0,323,71,69,52,70,61,337,76,69,52,65,75,408,86,82,84,69,87,340,73,69,74,57,67,269,52,28,69,70,50,71,67,18,27,22,48,10,10,11,11,6,1792,385,1,84,68,69,76,27,
S. Biuk LM RM LW,20,71,83,"Real Valladolid
Jun 30, 2024 On loan",262585,"182cm / 6'0""",70kg / 154lbs,Right,72,RM,12,€4.5M,€4K,€0,284,60,66,48,64,46,313,75,51,57,60,70,365,83,83,74,67,58,315,66,68,70,60,51,286,53,38,68,71,56,59,111,35,37,39,57,13,8,11,15,10,1731,379,1,83,62,63,71,38,
Andrew GK,22,75-1,84,"Gil Vicente
2021 ~ 2024",263673,"189cm / 6'2""",76kg / 168lbs,Right,75,GK,9,€11M,€7K,€25.3M,79,9,4,11,41,14,84,12,10,8,37,17,226,48+1,41,34,71,32,219,56,59,39,53,12,120,24,8,4,63+1,21,34,35,10,8,17,372,76,73-1,74-1,72-2,77,1135,417,1,76,73,74,77,45,
J. Urbig GK,19,71,84,"SpVgg Greuther Fürth
Jun 30, 2024 On loan",263887,"189cm / 6'2""",83kg / 183lbs,Right,71,GK,13,€3.9M,€5K,€0,59,10,5,13,23,8,70,6,12,12,28,12,187,31,33,30,57,36,182,50,52,24,51,5,100,27,14,8,36,15,40,32,8,14,10,352,71,71,66,71,73,982,384,1,71,71,66,73,32,
A. Devine CAM CM,18,65,84,"Plymouth Argyle
Jun 30, 2024 On loan",264180,"180cm / 5'11""",75kg / 165lbs,Right,67,CAM,19,€1.8M,€6K,€0,294,57,59,59,68,51,300,64,63,41,66,66,334,67,68,69,62,68,288,65,60,57,51,55,295,61,52,65,65,52,62,159,45,54,60,53,8,7,13,12,13,1723,362,1,68,59,63,65,52,
L. Gechter CB,19,69,80,"Hertha BSC
2020 ~ 2025",264589,"191cm / 6'3""",81kg / 179lbs,Right,71,CB,11,€2.8M,€4K,€5M,234,40,26,71,60,37,217,43,30,35,57,52,296,61,69,52,63,51,301,50,80,65,78,28,244,65,69,28,45,37,60,211,70,72,69,45,14,6,8,6,11,1548,338,1,65,32,50,49,70,
A. Zakharyan LM RM CM,20,74,85,"Real Sociedad
2023 ~ 2029",264701,"182cm / 6'0""",73kg / 161lbs,Right,75,CAM,11,€9.5M,€19K,€21.9M,331,73,68,51,72,67,373,72,73,77,76,75,369,82,77,69,72,69,338,74,65,73,53,73,312,58,51,69,74,60,70,155,57,54,44,60,11,14,12,13,10,1938,408,1,79,70,74,72,53,
G. Hall CAM CM,18,66,82,"Birmingham City
2021 ~ 2024",266155,"178cm / 5'10""",70kg / 154lbs,Right,69,RM,16,€2.2M,€2K,€5.6M,288,60,59,54,64,51,312,66,61,57,63,65,390,81,83,78,69,79,318,59,71,68,61,59,319,72,64,68,65,50,68,187,64,63,60,46,14,11,7,8,6,1860,399,1,82,59,63,68,62,
Mika Mármol CB,22,76,85,"Las Palmas
2023 ~ 2026",266160,"182cm / 6'0""",72kg / 159lbs,Left,78,CB,9,€15.5M,€16K,€35.7M,269,52,34,71,79,33,297,73,48,31,71,74,375,79,81,74,74,67,307,44,85,65,76,37,316,75,76,54,72,39,72,230,77,78,75,51,9,14,9,13,6,1845,408,1,80,38,67,73,76,
F. Gatti CB,25,78,82,"Juventus
2022 ~ 2027",266872,"190cm / 6'3""",80kg / 176lbs,Right,80,CB,4,€17.5M,€78K,€31.1M,242,34,30,80,66,32,254,57,34,36,61,66,342,76,79,56,73,58,322,58,89,67,79,29,286,80,78,45,40,43,75,239,80,81,78,45,6,11,11,11,6,1730,384,1,78,37,51,61,80,
V. Gómez CB LB,20,70,81,"Vélez Sarsfield
2022 ~ 2026",267860,"183cm / 6'0""",73kg / 161lbs,Left,72,CDM,11,€3.3M,€6K,€5.6M,235,39,25,68,72,31,253,60,30,29,69+1,65,373,78,80,75+1,67,73,299,50,77,78,65,29,275,85,66,29,59,36,64,211,65,73,73,46,11,12,7,9,7,1692,375,1,79,32,58,64,69,
N. Weiper ST,18,66,86,"FSV Mainz 05
2022 ~ 2025",268259,"191cm / 6'3""",82kg / 181lbs,Right,68,ST,20,€2.4M,€3K,€6.7M,291,39,71,70,50,61,259,67,46,43,37,66,315,64,68,63,64,56,324,62,75,56,74,57,260,65,18,69,51,57,59,62,23,20,19,47,10,13,12,6,6,1558,335,1,66,65,46,65,25,
N. Cambiaghi RW ST CF,22,73,82,"Empoli
Jun 30, 2024 On loan",268703,"173cm / 5'8""",74kg / 163lbs,Right,75,ST,9,€7M,€33K,€0,340,68,73,63,68,68,313,78,60,46,54,75,388,78,80,77,75,78,367,79,76,74,67,71,296,68,38,71,61,58,63,100,27,41,32,55,7,12,8,14,14,1859,398,1,79,73,63,76,38,
Y. Asprilla RW CAM,19,70,81,"Watford
2022 ~ 2026",271464,"175cm / 5'9""",75kg / 165lbs,Left,72,CAM,11,€3.4M,€12K,€7.1M,285,62,64,42,69,48,339,73,69,53,72,72,355,76,74,76,65,64,332,74,62,63,64,69,280,48,40,66,72,54,66,145,48,54,43,60,13,13,8,12,14,1796,388,1,75,66,68,72,47,
M. Prati CDM CM,19,73,85,"Cagliari
2023 ~ 2028",272725,"185cm / 6'1""",75kg / 165lbs,Right,75,CM,12,€7M,€10K,€14M,340,70,59,67,76,68,350,72,71,58,74,75,331,64,66,68,71,62,360,74,71,77,68,70,335,66,72,66,75,56,73,206,68,70,68,55,15,13,12,6,9,1977,414,1,65,65,73,72,69,
S. Vos CDM CM,18,66,84,"Ajax
2021 ~ 2028",272981,"180cm / 5'11""",74kg / 163lbs,Right,67,CDM,18,€2.1M,€1K,€4.3M,269,52,46,58,67,46,297,60,56,46,69,66,352,75,73,74,64,66,320,71,67,60,72,50,300,76,66,46,63,49,66,184,62,63,59,58,11,13,14,8,12,1780,384,1,74,52,62,64,62,
G. Orban ST,20,74,83,"Olympique Lyonnais
2024 ~ 2028",273564,"178cm / 5'10""",70kg / 154lbs,Right,76,ST,9,€9.5M,€24K,€20M,334,58,81,58,61,76,350,73,74,74,58,71,379,76,78,73,75,77,361,83,73,60,69,76,273,48,17,74,63,71,78,37,10,17,10,52,10,6,14,12,10,1786,372,1,77,79,62,73,18,
K. Best LWB LB CB,17,64,81,"Preston North End
2023 ~ 2025",277286,"181cm / 5'11""",75kg / 165lbs,Left,65,CM,17,€1.4M,€500,€3.5M,264,73,38,50,69,34,331,58,76,67,69,61,322,64,68,65,60,65,287,55,61,61,61,49,288,69,57,52,71,39,58,176,57,62,57,57,13,12,8,15,9,1725,361,1,66,44,70,60,58,
N. Lemina LW,18,64,78,"Wolverhampton Wanderers
Jun 30, 2024 On loan",277912,"172cm / 5'8""",78kg / 172lbs,Right,65,CAM,14,€1.4M,€6K,€0,267,58,58,39,59,53,310,70,62,62,51,65,380,81,78,80,57,84,297,70,60,49,59,59,246,44,27,57,58,60,62,85,28,28,29,50,7,12,11,8,12,1635,349,1,79,60,58,69,29,
K. Yıldız CF LM,18,66,83,"Juventus
2023 ~ 2025",277954,"185cm / 6'1""",75kg / 165lbs,Right,70,CAM,17,€2.2M,€10K,€5.1M,299,63,58,60,70,48,323,73,64,52,61,73,352,74,75,75,58,70,315,56,73,60,66,60,266,49,30,63,66,58,60,64,28,20,16,56,14,14,6,8,14,1675,359,1,75,58,65,72,28,
Falcao ST,37,74,74,"Rayo Vallecano
2021 ~ 2024",167397,"177cm / 5'10""",72kg / 159lbs,Right,74,ST,0,€1.4M,€15K,€2.9M,369,55,78,83,76,77,353,68,78,70,60,77,322,54,42,70,78,78,344,75,77,53,66,73,336,70,41,81,63,81,79,93,32,42,19,43,10,13,6,9,5,1860,368,3,47,77,67,72,41,
S. Kjær CB,34,81,81,"Milan
2020 ~ 2024",179645,"190cm / 6'3""",86kg / 190lbs,Right,81,CB,0,€8.5M,€68K,€14.5M,297,50,55,80,75,37,309,52,52,66,70,69,304,53,63,55,78,55,337,74,80,61,81,41,313,83,83,31,55,61,70,245,85,82,78,54,6,10,13,10,15,1859,396,3,59,54,64,60,83,
Parejo CM CDM,34,84,84,"Villarreal
2020 ~ 2026",189513,"182cm / 6'0""",74kg / 163lbs,Right,84,CM,0,€19.5M,€54K,€41M,388,86,78,63,89,72,427,77,88,90,87,85,314,53,52,60,75,74,373,80,67,71,70,85,397,65,79,77,90,86,85,223,76,74,73,48,5,9,12,14,8,2170,441,2,52,80,88,78,74,
T. Müller CAM CF ST,33,82,82,"FC Bayern München
2008 ~ 2025",189596,"185cm / 6'1""",76kg / 168lbs,Right,82,CAM,0,€19M,€75K,€31.4M,417,85,84,79,85,84,378,76,81,59,79,83,342,59,55,67,91,70,375,78,75,77,66,79,368,62,58,92,86,70,84,150,47,57,46,52,6,7,11,14,14,2082,423,4,57,82,83,78,55,
Koke CDM CM,31,84,84,"Atlético Madrid
2011 ~ 2025",193747,"176cm / 5'9""",75kg / 165lbs,Right,84,CDM,0,€29.5M,€74K,€62M,358,85,69,61,86,57,404,77,84,77,83,83,374,70,68,70,85,81,391,82,74,85,75,75,389,79,82,76,85,67,84,234,80,83,71,54,14,12,5,10,13,2204,462,3,69,72,85,79,79,
A. Oxlade-Chamberlain CM CAM,29,78,78,"Beşiktaş
2023 ~ 2026",198784,"175cm / 5'9""",70kg / 154lbs,Right,79,CAM,0,€13.5M,€30K,€25.7M,327,78,72,39,78,60,371,82,73,60,75,81,403,79,78,80,79,87,369,83,65,73,70,78,374,75,73,78,79,69,78,207,68,71,68,49,16,9,6,9,9,2100,450,2,78,75,77,81,67,
M. Verratti CM CDM,30,86-1,86-1,"Paris Saint Germain
2012 ~ 2026",199556,"165cm / 5'5""",60kg / 132lbs,Right,86,CM,0,€65M,€135K,€120.3M,353,82,60,57,90,64,421,91,85,64,89,92,383,64-1,51-4,91+1,84-3,93,306,60,61-5,75,52-1,58,405,89,85-1,78,89,64,93-1,244,78,82,84,64,12,12,15,15,10,2176,441,3,57,61,87,91,79,
K. Koulibaly CB,32,84,84,"Al Hilal
2023 ~ 2026",201024,"186cm / 6'1""",93kg / 205lbs,Right,84,CB,0,€27.5M,€62K,€44M,294,50,43,82,71,48,303,70,53,39,69,72,313,66,85,45,84,33,352,67,82,74,91,38,332,84,83,50,65,50,82,254,86,85,83,43,7,11,7,13,5,1891,424,3,76,48,63,68,84,
H. Maguire CB,30,80,80,"Manchester United
2019 ~ 2025",203263,"193cm / 6'4""",100kg / 220lbs,Right,80,CB,0,€17.5M,€105K,€33.3M,314,51,48,87,79,49,336,68,67,46,82,73,238,44,47,36,78,33,376,82,84,68,90,52,364,84,82,61,69,68,81,230,80,80,70,62,14,16,9,14,9,1920,402,3,46,57,70,66,80,
J. Stones CB CDM RB,29,85,86,"Manchester City
2016 ~ 2026",203574,"188cm / 6'2""",76kg / 168lbs,Right,85,CB,1,€49.5M,€180K,€95.3M,331,63,54,84,86,44,329,77,52,37,79,84,359,69,76,69,86,59,335,55,85,74,77,44,352,80,84,58,78,52,87,256,86,86,84,51,7,15,11,10,8,2013,440,2,73,52,75,78,85,
M. Kovačić CM CDM,29,82,82,"Manchester City
2023 ~ 2027",207410,"177cm / 5'10""",80kg / 176lbs,Right,82,CM,0,€29.5M,€150K,€54.6M,341,73,61,42,89,76,407,87,78,70,84,88,393,76,64,86,83,84,358,78,64,75,65,76,367,77,76,73,82,59,84,216,73,75,68,34,9,5,6,7,7,2116,448,3,69,69,82,87,71,
Lucas Vázquez RB,32,81,81,"Real Madrid
2015 ~ 2024",208618,"173cm / 5'8""",70kg / 154lbs,Right,81,RB,0,€18M,€140K,€36.9M,353,83,72,58,82,58,390,81,83,71,76,79,406,81,81,81,81,82,374,80,70,92,56,76,362,72,75,80,79,56,75,221,74,74,73,50,9,16,9,9,7,2156,456,2,81,73,80,80,73,
J. Vardy ST,36,76,76,"Leicester City
2012 ~ 2024",208830,"179cm / 5'10""",74kg / 163lbs,Right,76,ST,0,€2.6M,€34K,€4.7M,376,68,80,76,73,79,334,70,69,60,59,76,360,77,72-2,69,76,66,348,81,81,61,61,64,365,80,49,83,70,83,78,149,45,51,53,62,15,14,7,15,11,1994,409,3,74,77,68,72,52,
D. Berardi RW RM,28,85,85,"Sassuolo
2012 ~ 2027",210935,"183cm / 6'0""",72kg / 159lbs,Left,85,RW,0,€54.5M,€40K,€92.7M,388,78,85,62,85,78,405,86,78,75,79,87,428,82,82,92,85,87,380,83,75,78,64,80,355,85,25,86,83,76,78,102,42,30,30,27,5,6,5,5,6,2085,441,2,82,83,81,87,36,
P. Onuachu ST,29,74,74,"Trabzonspor
Jun 30, 2024 On loan",212382,"201cm / 6'7""",98kg / 216lbs,Right,74,ST,0,€4.2M,€42K,€0,344,41,76,85,69,73,289,68,58,30,62,71,262,54,65,38,73,32,377,75,82,65,92,63,337,74,41,76,60,86,68,117,33,48,36,52,9,12,14,9,8,1778,382,1,60,74,58,64,45,
J. Tah CB,27,83,84,"Bayer 04 Leverkusen
2015 ~ 2025",213331,"195cm / 6'5""",94kg / 207lbs,Right,84,CB,1,€36.5M,€67K,€64.8M,265,39,32,84,77,33,258,60,37,27,68,66,303,55,78,49,81,40,340,60,87,75,92,26,291,82,82,33,56,38,77,246,81,85,80,49,11,8,7,9,14,1752,395,2,68,37,59,62,83,
K. Coman LM RM,27,85,85,"FC Bayern München
2015 ~ 2027",213345,"181cm / 5'11""",75kg / 165lbs,Right,85,LM,0,€57.5M,€100K,€94.9M,375,81,75,61,80,78,402,88,83,70,74,87,439,92,86,92,85,84,369,83,79,68,66,73,291,38,23,83,82,65,78,77,29,27,21,21,5,3,5,3,5,1974,423,4,89,76,79,87,30,
J. Correa CF LM,28,75,75,"Olympique de Marseille
Jun 30, 2024 On loan",215330,"188cm / 6'2""",78kg / 172lbs,Right,75,CF,0,€6M,€66K,€0,366,74,74,69,74-1,75,375,81,81-1,63,68,82,352,66,67,83,69-3,67,355,79,71,70,66,69,291,48,36,74,76,57,75,102,39,37,26,44,11,10,7,8,8,1885,397,1,67,73,73,80,40,
N. Fekir CAM ST,29,82,82,"Real Betis
2019 ~ 2026",216594,"173cm / 5'8""",75kg / 165lbs,Left,82,CAM,0,€30M,€36K,€63M,368,81,79,50,81,77,407,85,83,79,77,83,416,86,78,84,78,90,396,84,78,75,80,79,355,82,36,80,83,74,86,109,36,43,30,61,15,9,8,14,15,2112,445,3,82,80,81,84,39,
C. Burgess CB,27,69,71,"Ipswich Town
2021 ~ 2024",216744,"194cm / 6'4""",81kg / 179lbs,Left,71,CB,2,€1.5M,€9K,€3M,235,40,38,69,65,23,238,45,37,30,66,60,251,46,49,40,64,52,303,45,74,73,85,26,281,70,65,53,50,43,66,208,67,71,70,58,9,13,14,15,7,1574,336,1,48,37,54,51,68,
Pablo Maffeo RWB LWB,25,79,82,"Mallorca
2022 ~ 2026",221342,"172cm / 5'8""",70kg / 154lbs,Right,79,RWB,3,€21.5M,€28K,€46.8M,298,79,53,70,75,21,334,81,71,34,68,80,394,85,80,75,73,81,331,57,81,71,70,52,306,67,71,67,64,37,62,234,74,82,78,58,10,7,14,12,15,1955,429,1,82,52,70,79,76,
Diogo Jota CF LW,26,85,86,"Liverpool
2020 ~ 2027",224458,"178cm / 5'10""",70kg / 154lbs,Right,85,CF,1,€64.5M,€180K,€124.2M,400,73,85,86,77,79,375,83,77,58,72,85,426,85,80,86,88,87,408,86,91,80,75,76,376,85,56,88,78,69,83,155,53,57,45,54,7,12,15,9,11,2194,459,2,82,82,75,84,57,
R. Henry LB LWB,25,77,78,"Brentford
2016 ~ 2026",224494,"170cm / 5'7""",66kg / 146lbs,Left,77,LB,1,€11.5M,€45K,€22.7M,264,68,40,54,69,33,290,71,49,39,57,74,431,89,86,89,76,91,297,44,74,78,65,36,317,78,74,67,55,43,72,231,78,78,75,55,13,12,12,6,12,1885,411,1,87,41,62,75,75,
P. Kimpembe CB,27,81,83,"Paris Saint Germain
2015 ~ 2026",225850,"189cm / 6'2""",80kg / 176lbs,Left,83,CB,2,€27.5M,€81K,€52.9M,282,59,33,79,78,33,297,63,50,32,75,77,357,75,77,68,78,59,348,70,90,65,86,37,332,89,80,47,64,52,79,243,80,82,81,53,7,8,14,15,9,1912,418,3,76,43,67,69,81,
N. Pépé RM RW ST,28,78,78,"Trabzonspor
2023 ~ 2024",226110,"183cm / 6'0""",73kg / 161lbs,Left,79,LW,0,€14M,€53K,€28M,352,75,75,57,75,70,388,82,81,79,66,80,413,87,87,90,74,75,364,80,77,65,68,74,311,43,33,76,74,85,75,100,36,34,30,50,11,14,11,6,8,1978,417,2,87,76,74,81,36,
